M_over_m,T_rod_only_s,T_rod_plus_bar_s
0.2971887550200803,1.5753265826272609,1.4693406722379323
0.3052208835341365,1.5753265826272609,1.4670651234012018
0.3132530120481927,1.5753265826272609,1.4648139396227635
0.321285140562249,1.5753265826272609,1.4625867238224421
0.3293172690763052,1.5753265826272609,1.4603830876393757
0.3373493975903614,1.5753265826272609,1.458202651190961
0.34538152610441764,1.5753265826272609,1.4560450428398313
0.35341365461847385,1.5753265826272609,1.4539098989685584
0.36144578313253006,1.5753265826272609,1.451796863761772
0.36947791164658633,1.5753265826272609,1.4497055889954173
0.37751004016064255,1.5753265826272609,1.447635733832873
0.38554216867469876,1.5753265826272609,1.4455869646276722
0.393574297188755,1.5753265826272609,1.4435589547325725
0.4016064257028112,1.5753265826272609,1.441551384314737
0.40963855421686746,1.5753265826272609,1.4395639401768001
0.41767068273092367,1.5753265826272609,1.4375963155835971
0.4257028112449799,1.5753265826272609,1.4356482100943448
0.4337349397590361,1.5753265826272609,1.43371932940008
0.4417670682730923,1.5753265826272609,1.4318093851661542
0.4497991967871485,1.5753265826272609,1.4299180948796089
0.4578313253012048,1.5753265826272609,1.4280451817012485
0.465863453815261,1.5753265826272609,1.4261903743222437
0.4738955823293172,1.5753265826272609,1.4243534068251058
0.48192771084337344,1.5753265826272609,1.4225340185488706
0.48995983935742965,1.5753265826272609,1.4207319539583476
0.4979919678714859,1.5753265826272609,1.4189469625172877
0.5060240963855421,1.5753265826272609,1.4171787985653364
0.5140562248995983,1.5753265826272609,1.415427221198634
0.5220883534136546,1.5753265826272609,1.413691994153943
0.5301204819277108,1.5753265826272609,1.4119728856961749
0.538152610441767,1.5753265826272609,1.4102696685092047
0.5461847389558232,1.5753265826272609,1.4085821195898576
0.5542168674698794,1.5753265826272609,1.4069100201449618
0.5622489959839357,1.5753265826272609,1.4052531554913597
0.570281124497992,1.5753265826272609,1.4036113149587865
0.5783132530120482,1.5753265826272609,1.4019842917955108
0.5863453815261044,1.5753265826272609,1.4003718830766498
0.5943775100401606,1.5753265826272609,1.3987738896150703
0.6024096385542168,1.5753265826272609,1.397190115874791
0.610441767068273,1.5753265826272609,1.3956203698868
0.6184738955823292,1.5753265826272609,1.394064463167214
0.6265060240963854,1.5753265826272609,1.3925222106376993
0.6345381526104417,1.5753265826272609,1.3909934305480802
0.642570281124498,1.5753265826272609,1.3894779444010734
0.6506024096385542,1.5753265826272609,1.3879755768790651
0.6586345381526104,1.5753265826272609,1.3864861557728823
0.6666666666666666,1.5753265826272609,1.3850095119124792
0.6746987951807228,1.5753265826272609,1.3835454790994937
0.6827309236947791,1.5753265826272609,1.382093894041602
0.6907630522088353,1.5753265826272609,1.3806545962886219
0.6987951807228915,1.5753265826272609,1.3792274281703112
0.7068273092369477,1.5753265826272609,1.3778122347358024
0.7148594377510039,1.5753265826272609,1.3764088636946317
0.7228915662650601,1.5753265826272609,1.375017165359306
0.7309236947791165,1.5753265826272609,1.3736369925893643
0.7389558232931727,1.5753265826272609,1.3722682007368887
0.7469879518072289,1.5753265826272609,1.3709106475934187
0.7550200803212851,1.5753265826272609,1.369564193338228
0.7630522088353413,1.5753265826272609,1.3682287004879243
0.7710843373493975,1.5753265826272609,1.366904033847327
0.7791164658634537,1.5753265826272609,1.3655900604615934
0.78714859437751,1.5753265826272609,1.364286649569548
0.7951807228915662,1.5753265826272609,1.3629936725581855
0.8032128514056224,1.5753265826272609,1.361711002918309
0.8112449799196786,1.5753265826272609,1.3604385162012738
0.8192771084337349,1.5753265826272609,1.3591760899767997
0.8273092369477911,1.5753265826272609,1.3579236037918272
0.8353413654618473,1.5753265826272609,1.3566809391303827
0.8433734939759036,1.5753265826272609,1.3554479793744234
0.8514056224899598,1.5753265826272609,1.3542246097656405
0.859437751004016,1.5753265826272609,1.3530107173681811
0.8674698795180722,1.5753265826272609,1.351806191032279
0.8755020080321284,1.5753265826272609,1.3506109213587516
0.8835341365461846,1.5753265826272609,1.3494248006643528
0.8915662650602408,1.5753265826272609,1.348247722947949
0.899598393574297,1.5753265826272609,1.3470795838574994
0.9076305220883534,1.5753265826272609,1.345920280657816
0.9156626506024096,1.5753265826272609,1.3447697121990854
0.9236947791164658,1.5753265826272609,1.3436277788861235
0.931726907630522,1.5753265826272609,1.3424943826483553
0.9397590361445782,1.5753265826272609,1.3413694269104883
0.9477911646586344,1.5753265826272609,1.3402528165638656
