t_s,t_over_T,theta_case1_rad,theta_case2_rad
4.388206472081448,3.0935467733866933,0.06259337546898455,0.08321783477018925
4.391044898001294,3.0955477738869432,0.06376943559491766,0.08251411205999343
4.3938833239211394,3.0975487743871937,0.0649354157103734,0.08179734637542757
4.396721749840985,3.0995497748874437,0.06609113150931786,0.08106765101537117
4.399560175760831,3.101550775387694,0.06723640030819374,0.08032514132249252
4.402398601680677,3.103551775887944,0.06837104107479611,0.0795699346650174
4.405237027600522,3.105552776388194,0.06949487445689005,0.07880215041817522
4.408075453520368,3.1075537768884445,0.07060772281055978,0.0780219099453302
4.410913879440214,3.1095547773886945,0.07170941022828783,0.07722933657879817
4.41375230536006,3.1115557778889444,0.07279976256676295,0.07642455560034984
4.416590731279905,3.113556778389195,0.07387860747440425,0.07560769422140944
4.419429157199751,3.115557778889445,0.07494577441860704,0.0747788815629448
4.422267583119597,3.1175587793896953,0.07600109471269789,0.07393824863505798
4.4251060090394425,3.1195597798899453,0.07704440154259788,0.07308592831627728
4.427944434959288,3.1215607803901952,0.07807552999319277,0.0722220553325517
4.430782860879133,3.123561780890445,0.07909431707439979,0.07134676623595583
4.433621286798979,3.125562781390695,0.08010060174693177,0.07046019938310491
4.4364597127188246,3.127563781890945,0.08109422494775252,0.06956249491328481
4.43929813863867,3.129564782391195,0.08207502961522013,0.06865379472630007
4.442136564558516,3.1315657828914456,0.0830428607139126,0.06773424246004477
4.444974990478362,3.1335667833916956,0.08399756525913583,0.06680398346779635
4.4478134163982075,3.1355677838919456,0.08493899234110504,0.06586316479524028
4.450651842318053,3.137568784392196,0.08586699314879821,0.06491193515722753
4.453490268237899,3.139569784892446,0.08678142099348023,0.06395044491426564
4.456328694157745,3.1415707853926964,0.08768213133188905,0.06297884604875202
4.45916712007759,3.1435717858929464,0.0885689817890829,0.06199729214095108
4.462005545997436,3.1455727863931964,0.08944183218094694,0.06100593834471614
4.464843971917282,3.147573786893447,0.09030054453635127,0.060004941362965164
4.467682397837128,3.149574787393697,0.0911449831189594,0.05899445942291164
4.470520823756973,3.151575787893947,0.09197501444868535,0.057974652251051945
4.473359249676819,3.153576788394197,0.09279050732279216,0.056945681047918334
4.476197675596665,3.155577788894447,0.09359133283663032,0.05590770846259885
4.4790361015165105,3.1575787893946976,0.09437736440401531,0.05486089856702545
4.481874527436356,3.1595797898949476,0.09514847777723524,0.053805416830041544
4.484712953356202,3.1615807903951976,0.09590455106669211,0.05274143009124432
4.487551379276048,3.163581790895448,0.0966454647601683,0.0516691065346134
4.4903898051958935,3.165582791395698,0.09737110174171712,0.0505886156619269
4.493228231115739,3.1675837918959484,0.09808134731017655,0.04950012826596659
4.496066657035585,3.1695847923961984,0.09877608919729942,0.04840381640352168
4.498905082955431,3.1715857928964484,0.09945521758549895,0.047299853368192674
4.5017435088752755,3.173586793396698,0.10011862512520864,0.04618841366299753
4.504581934795121,3.1755877938969483,0.10076620695185107,0.04506967297278757
4.507420360714967,3.1775887943971983,0.10139786070241219,0.04394380813647997
4.510258786634813,3.1795897948974483,0.1020134865316236,0.04281099711910169
4.5130972125546585,3.1815907953976987,0.10261298712774436,0.04167141898365991
4.515935638474504,3.1835917958979487,0.10319626772794246,0.04052525386283854
4.51877406439435,3.1855927963981987,0.10376323613327502,0.039372682930522825
4.521612490314196,3.187593796898449,0.1043138027232616,0.03821388837316217
4.524450916234041,3.189594797398699,0.10484788047005,0.03704905336097302
4.527289342153887,3.1915957978989495,0.1053653849521737,0.03587836201898326
